指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
超敏C反应蛋白,High-sensitivity C-reactive protein,hs-CRP,炎症反应,0,5,mg/dl,"C-反应蛋白（C-reactive protein，CRP）是由肝脏合成分泌，由206个氨基酸残基组成，相对分子质量为23000的一种位于球蛋白区带的蛋白，血液中常以相同亚基的五聚体形式存在。CRP是一种急性期蛋白，在健康人体内含量非常少，但在疾病急性反应期含量急速增高。CRP具有促进巨噬细胞的吞噬，刺激单核细胞表面的组织因子表达及其他免疫调节功能。
由于CRP单体很难检测，通过更加灵敏的检测方法可以检测到极低浓度的C反应蛋白，称为超敏C反应蛋白（hypersensitive C-reactive protein，hs-CRP）。hs-CRP是一种全身性炎症反应急性期的非特异性标志物，与动脉粥样硬化等心血管疾病的风险增加相关，是鉴别血管炎症反应上调的有用标记。其反映着全身炎症反应，对心血管事件的发生、发展具有预测功能。
hs-CRP常见检测方法有胶乳增强免疫透射比浊法、ELISA法、胶体金法、化学发光和免疫荧光分析技术等方法。临床上在心脑血管疾病中的风险判断：<1mg/L为低风险；1.0~3.0mg/L为平均风险，3.1~9.9mg/L为高风险，>9.9mg/L为极高风险。","心血管疾病
hs-CRP在冠状动脉粥样硬化形成和发展中的作用有：①调节巨噬细胞摄取氧化型低密度脂蛋白胆固醇（LDL-C），然后转化为泡沫细胞；②刺激巨噬细胞产生血栓前组织因子；③激活粥样斑块内的补体系统导致斑块不稳定，增强不稳定斑块的血管活性；④诱导黏附因子的表达，如：ICAM-1和人类冠脉内皮上的E-选择素；⑤致敏内皮细胞，产生CD4+T细胞介导的细胞毒作用造成损坏，hs-CRP水平升高与内皮细胞功能衰竭和冠状动脉粥样硬化的进程相关。
有研究显示，在众多生化指标中，hs-CRP对冠心病的预测价值明显高于的传统的冠心病危险因素如血脂、脂蛋白和载脂蛋白、同型半胱氨酸等。在多变量分析过程中，记录诸多冠心病危险因素如肥胖、高血压、糖尿病、冠心病家族史及各种生化指标，仅仅只有hs-CRP和TC/HDL-C有单独的预测价值。在对绝经期后妇女的相同研究中，hs-CRP已显示能预测LDL-C<1300mg/L人群的危险性。另有研究发现hs-CRP能鉴别那些血脂水平在合适范围的个体发生冠心病的危险性。
代谢综合征
代谢综合征（MS）包括有中心性肥胖、高血糖、高血压、血脂异常、内皮功能异常、炎症、氧化应激、促凝、低纤溶等危险状态，这些因素每一项均可促进动脉粥样硬化的发生和发展。其中在动脉粥样硬化中，炎症因子可能起重要作用。大量流行病学调查和实验研究表明，肥胖和炎症反应是MS重要组成部分。
研究表明，代谢综合征合并冠心病的hs-CRP水平明显高于无冠心病的代谢综合征者 (P<0.05)，随着代谢异常数量的增加，hs-CRP水平也逐步增高，冠心病hs-CRP显著高于非冠心病患者 (P<0.05) 。在调整空腹血糖、TC、TG、低密度脂蛋白胆固醇（LDL-C）、高密度脂蛋白胆固醇（HDL-C）等因素的影响后，协方差结果显示hs-CRP在MS中合并冠心病组仍高于冠心病组 (P<0.05)，提示hs-CRP可能就是MS和冠心病的危险因子，炎症可能参与并促发MS和动脉粥样硬化的过程。
因此，代谢综合症可认为是炎症性疾患，干预炎症过程可能同时减轻动脉粥样硬化的发生，hs-CRP可以起到良好的预测作用。 ",成人,
超氧化物歧化酶,Superoxide dismutase,SOD,氧化应激指标,13,64,未明确,SOD是一类能催化超氧阴离子自由基歧化为H2O2和O2的酶，具有抗氧化和抗衰老的作用。其作用机理主要是清除对机体有害的超氧阴离子自由基。SOD对治疗由超氧自由基引起的疾病如氧中毒、急性炎症、各类自身免疫性疾病、辐照病和老年性白内障等有独特疗效。,在使用SOD药物时一定要弄清衰老的真正原因。导致人体衰老的原因是多方面的，氧自由基过多只是原因之一。SOD使用过多会给机体带来一定毒副作用。,可用于延缓人体衰老、预防疾病、改善人体免疫力、作为食品及化妆品添加剂等方面。,SOD能清除和减少人体内过多的自由基而延缓衰老。它可以不断地清除由光照黑色素耗氧过多而产生的氧自由基，防止过多的黑色素的形成。同时也可不断地清除由脂褐素和蜡样质产生的氧自由基避免过多的脂质发生过氧化，而减少脂褐素和蜡样质的形成，进而起到防止衰老的作用。
身高,Height,HT,体格测量,,,cm,"身高是指从头顶点(v)至地面的垂距 [1]。一般以“厘米”（cm）作单位，也较经常用“米”（m）。 身高是人体纵向部分的长度，源于人体的纵向生长，受遗传因素的影响较大。女孩比男孩身高发育的早，在12-13岁为快速增长时期，到19-23岁开始停止增长，而男孩身高发育的晚，在15-16岁为快速增长时期，到20-25岁停止增长，四肢长骨和脊椎骨均已完成骨化，身高就停止增长了。影响身高的因素很多，如遗传、营养、体育运动、环境、生活习惯、种族、内分泌、性成熟早晚（初潮年龄18岁比11岁者平均高出5厘米）、远近亲婚配、医学进步等等。
根据《中国居民营养与慢性病状况报告（2020年）》，中国18-44岁男性和女性的平均身高分别为169.7厘米和158厘米。",,成人,
转氨酶,Aminotransferases,AMT,肝功能,0,40,u/L,转氨酶是催化氨基酸与酮酸之间氨基转移的一类酶，主要存在于肝细胞中。当肝细胞发生炎症、中毒、坏死等时会造成肝细胞的受损，转氨酶便会释放到血液里，使血清转氨酶升高。,避免饮酒、剧烈运动、熬夜等可能导致转氨酶升高的行为，合理饮食，多食用菌类食品和高蛋白食物。,肝功能测试的重要指标，用于诊断肝脏疾病如肝炎、肝硬化、肝癌等。,转氨酶升高不一定意味着肝炎，也可能是由于剧烈运动、药物副作用、脂肪肝等其他原因引起的。需要结合其他检查结果综合判断。
载脂蛋白A,Apolipoprotein A1,ApoA1,血脂,1.25,1.59,g/L,"载脂蛋白A是血浆脂蛋白的蛋白质组成部分，属于载脂蛋白的主要类别之一，临床常见亚型包括Ⅰ、Ⅱ、Ⅳ，其中载脂蛋白AⅠ、Ⅱ占蛋白质总量的90%，载脂蛋白A-Ⅱ(apoAⅡ)是该家族的重要组分。其分子具有多态性特征，主要存在于高密度脂蛋白(HDL)中，临床检测常采用静脉采血标本，需满足禁食≥12小时、禁酒≥24小时的要求。
载脂蛋白A-Ⅱ通过构成HDL颗粒参与脂代谢调控，具有水解乳糜微粒和极低密度脂蛋白中甘油三酯的功能。载脂蛋白AⅠ是核心检测指标，浓度降低与冠心病风险呈负相关，升高多见于酒精性肝炎，载脂蛋白A-Ⅱ水平异常可见于肝炎、肝硬化及急性心肌梗死等疾病。血清载脂蛋白AⅠ参考值为1.00～1.60 g/L，载脂蛋白A-Ⅱ正常范围为23.0～40.0 mg/dl。
检测方法包括免疫透射比浊法和火箭电泳法，前者通过抗原抗体反应测定浊度，后者利用电泳形成沉淀峰进行定量分析。
1.载脂蛋白AⅠ正常参考值：1.00～1.60 g/L。
2.载脂蛋白AⅡ正常参考值：0.35～0.5 g/L。
3.载脂蛋白AⅣ正常参考值：0.13～0.16 g/L，有报道高达0.37 g/L。","载脂蛋白AⅠ意义明确，且在组织中的浓度最高，故成为临床常用的检测指标。载脂蛋白AⅡ、载脂蛋白AⅣ与载脂蛋白AⅤ尚未开展临床检测，其升高或降低意义不甚明确。
1.载脂蛋白AⅠ主要由小肠和肝合成，是高密度脂蛋白的主要成分，90%存在于高密度脂蛋白。其生理功能有：①构成乳糜微粒（CM）、高密度脂蛋白。②参与激活卵磷脂-胆固醇酰基转移酶（LCAT），使游离胆固醇酯化。③参与胆固醇的逆转运过程。临床常用于动脉粥样硬化性疾病风险评估和检测，以及检测丹吉尔病（Tangier病）。
（1）载脂蛋白AⅠ缺陷：引起丹吉尔病，血浆中载脂蛋白AⅠ缺乏或明显减少，常伴有严重低高密度脂蛋白血症。
（2）载脂蛋白AⅠ降低：见于有心脑血管疾病危险因素如冠状动脉粥样硬化性心脏病（冠心病）、动脉粥样硬化性疾病、糖尿病、肾病综合征、营养不良、活动性肝炎或急性肝炎、慢性肝炎、肝外胆道阻塞、人工透析等患者。
（3）载脂蛋白AⅠ增高：见于酒精性肝炎、高脂蛋白血症等。
2．载脂蛋白AⅡ的生理功能尚不十分清楚。除作为高密度脂蛋白的结构成分外，可能还具有抑制卵磷脂-胆固醇酰基转移酶活性的作用；也有学者认为，载脂蛋白AⅡ是肝脂酶（HL）的激活因子。临床上可与载脂蛋白CⅡ、载脂蛋白E一起检测分析确定高脂血症类型，急性肝炎、肝硬化、阻塞性黄疸和急性心肌梗死时三者也有相应改变。
⑴高脂血症Ⅰ型：载脂蛋白AⅡ降低，载脂蛋白CⅡ和载脂蛋白E显著增高。
⑵高脂血症Ⅱa型：高脂血症Ⅱa型载脂蛋白AⅡ、载脂蛋白CⅡ均正常，载脂蛋白E正常或增高；高脂血症Ⅱb型载脂蛋白AⅡ正常，载脂蛋白CⅡ增高，载脂蛋白E正常或增高。
⑶高脂血症Ⅲ型：载脂蛋白AⅡ正常，载脂蛋白CⅡ、载脂蛋白E显著增高。
⑷高脂血症Ⅳ型：载脂蛋白AⅡ正常，载脂蛋白CⅡ显著增高，载脂蛋白E增高。
⑸高脂血症Ⅴ型：载脂蛋白AⅡ正常，载脂蛋白CⅡ、载脂蛋白E显著增高。
⑹急性肝炎：载脂蛋白AⅡ降低，载脂蛋白CⅡ正常，载脂蛋白E显著增高。
⑺肝硬化：载脂蛋白AⅡ、载脂蛋白CⅡ降低，载脂蛋白E不定。
⑻急性心肌梗死：载脂蛋白AⅡ降低，载脂蛋白CⅡ、载脂蛋白E正常。
⑼阻塞性黄疸：载脂蛋白AⅡ明显降低，载脂蛋白CⅡ增高，载脂蛋白E明显增高。
3.载脂蛋白AⅣ是一种酸性糖蛋白。载脂蛋白AⅣ的功能有：①激活卵磷脂-胆固醇酰基转移酶；②参与胆固醇逆转运；③与细胞结合，更利于介导高密度脂蛋白与细胞结合；④辅助激活脂蛋白脂酶；⑤调节食欲。
4.载脂蛋白AⅤ是载脂蛋白超家族新成员。尽管血浆载脂蛋白AⅤ浓度较低，但它能够显著降低血浆三酰甘油。载脂蛋白AⅤ与肥胖和代谢综合征的发生存在密切关系。",成人,
载脂蛋白B,Apolipoprotein B,ApoB,血脂,0.42,1.14,g/L,"载脂蛋白（apolipoprotein，apo）是血浆脂蛋白中的蛋白质，其基本功能是运载脂类。
apoB由于氨基酸组成的差异，可分为以下亚类：apoB48和apoB100。apoB48是乳糜微粒（CM）的载脂蛋白之一；apoB100是极低密度脂蛋白（VLDL）和低密度脂蛋白（LDL）的载脂蛋白之一。","偏高的危害：持续的载脂蛋白B偏高，会加速动脉粥样硬化进程。过多的胆固醇在血管壁沉积，形成斑块，使血管逐渐狭窄、变硬，影响血液流动。这会增加冠心病、脑卒中等心血管疾病的发病几率，严重时可导致血管堵塞，引发心肌梗死、脑梗死，威胁生命健康。
应对措施​：发现载脂蛋白B偏高后，首先应调整生活方式，饮食上减少饱和脂肪和胆固醇摄入，多吃富含膳食纤维的食物；每周进行至少150分钟中等强度运动；戒烟限酒，规律作息。若生活方式干预效果不佳，或心血管疾病风险较高，医生会根据具体情况开具他汀类等降脂药物，帮助降低载脂蛋白B水平。",成人,
透明质酸酶,Hyaluronidase,HYAL,酶学检测,60 U,160 U,U,透明质酸酶是能使透明质酸产生水解作用酶的总称，是一种能够降低体内透明质酸的活性，从而提高组织中液体渗透能力的酶。,使用前建议做皮试，过敏者忌用，对蜂毒过敏者忌用。,临床用作药物渗透剂，促进药物的吸收，促进手术及创伤后局部水肿或血肿消散。,透明质酸酶能暂时降低人体内细胞间质的粘性，可促使皮下输液、局部积贮的渗出液或血液加快扩散而利于吸收。
酮戊二酸脱氢酶,Oxoglutarate dehydrogenase,OGDH,酶学检测,0.14,0.04,mM,酮戊二酸脱氢酶是三羧酸循环中的一个关键调控点。此酶被其产物琥珀酰辅酶A与NADH所抑制。细胞中所充斥的能量高亦是抑制因素。二磷酸腺苷与钙离子是酶的变构增活因子。,无具体建议,三羧酸循环、赖氨酸降解、色氨酸代谢,在许多神经变性疾病期间，酮戊二酸脱氢酶复合体的活性会下降很多。酮戊二酸脱氢酶是原发性胆汁性肝硬变中的自身抗原，这是一种急性肝脏衰竭。由此所产生的抗体似乎专门识别那些由炎症免疫反应所导致的被氧化的蛋白质。这类炎症反应中的一些可被解释为谷蛋白过敏。
酸碱度,pH,pH,一般检验,0,14,无,酸碱度指的是水溶液的酸碱性强弱程度。水溶液中，氢离子浓度大于氢氧根离子时，溶液呈酸性，氢离子浓度越高意味着酸性越强；反之溶液呈碱性，氢氧根离子浓度越高意味着碱性越强；二者浓度相等时，溶液呈中性。通常酸碱度可用pH值来表示。常温下，pH=7的溶液为中性，pH<7的溶液呈酸性，pH>7的溶液则呈碱性。,对于酸性土，可以适量熟石灰（氢氧化钙，Ca(OH)2，是一种强碱）；而对于碱性土，则可用石膏、硫磺或明矾来改良。,工农业生产、科学实验以及人们的生活和健康,人体的各种体液都有一定的酸碱度。正常人的血浆近中性，pH为7.35~7.45，它的稳定与其中含有的HCO3-、H2CO3等物质有关。健康人胃液的pH在0.9~1.5。饮食不规律时，胃内分泌出的大量消化液（包括胃酸），不能够得到食物中和，会侵蚀胃黏膜，导致胃黏膜受到损伤，长期如此将诱发胃炎，甚至胃癌。
醇脱氢酶,Alcohol dehydrogenase,ADH,酶学检测,0,2.6,U/L,醇脱氢酶是一组存在于人体或其他动物消化系统内的化合物，主要参与酒精的分解过程。在酒精代谢中，90%-95%经由氧化途径，其中脱氢过程是最主要步骤，由醇脱氢酶及醛脱氢酶负责。,对于酒精代谢异常或肝脏功能异常的人群，建议限制酒精摄入，并定期进行肝功能检查。,适用于评估肝脏功能及酒精代谢能力，尤其在急性肝炎等肝脏疾病诊断中有重要意义。,血清醇脱氢酶活性升高主要见于急性肝炎，阳性率达87%左右。慢性肝炎和肝硬化患者血清醇脱氢酶活性升高的阳性率较低。梗阻性黄疸未引起肝细胞损害时，醇脱氢酶活性一般不增高。
间接胆红素IBil,Indirect bilirubin,IBil,肝功能,1.7,10.2,μmol/L,间接胆红素又称非结合胆红素，即不与葡萄糖醛酸结合的胆红素。由间接胆红素和直接胆红素组成总胆红素。血清间接胆红素升高，主要与各种溶血疾病有关。大量的红细胞破坏后，大量血红蛋白被转变成间接胆红素，超过了肝脏的处理能力，不能将其全部转变成直接胆红素，使血液中的间接胆红素升高。其浓度反映肝细胞的转化功能和红细胞的分解状态。,"1.肝脏疾病
某些恶性疾病也会导致血中的间接胆红素偏高，如急性黄疸型肝炎、急性肝坏死、慢性活动性肝炎、肝硬化等。
2.溶血性贫血
人体内红细胞大量破坏，血中间接胆红素过多时，超过了肝脏的转化能力，使间接胆红素在血中滞留，从而引起血中间接胆红素偏高，这种情况也被称之为溶血性黄疸，患者通常会有皮肤发黄、巩膜发黄、尿色发黄症状。
3.血型不合输血
当输入血型不合的血液，会导致溶血，使体内红细胞大量破坏，从而导致血液中的间接胆红素偏高。
4.肝细胞黄疸
当肝细胞发生病变时，或者因胆红素不能正常地转化成胆汁，或者因肝细胞肿胀，使肝内的胆管受压，排泄胆汁受阻，使血中的胆红素升高。
5.其他
严重烫伤、败血症、疟疾、脾功能亢进、恶性贫血、珠蛋白生成障碍性贫血、铅中毒、新生儿生理性黄疸、药物性黄疸、体质性黄疸、哺乳性黄疸等。",成人,
